id_6char,id_7char,municipio_sus,municipio,uf,populacao,clinicos,intensivistas,enfermeiros,anestesiologistas,ventiladores_existentes,ventiladores_em_uso,estab_c_vent_sus,quantidade_leitos,leitos_sus,leitos_nao_sus
150270,1502707, Conceição do Araguaia,Conceição do Araguaia,PA,47864,21,,40,1,6,6,2,119,107,12
150275,1502756, Concórdia do Pará,Concórdia do Pará,PA,33318,1,,2,,,,,25,25,
150276,1502764, Cumaru do Norte,Cumaru do Norte,PA,13473,,,11,,1,1,1,11,11,
150277,1502772, Curionópolis,Curionópolis,PA,17929,6,,5,,,,,50,50,
150280,1502806, Curralinho,Curralinho,PA,34448,2,,7,,,,,26,26,
150285,1502855,,Curuá,PA,14393,,,7,,,,,,,
150290,1502905, Curuçá,Curuçá,PA,40066,3,,9,,1,1,1,27,27,
150293,1502939, Dom Eliseu,Dom Eliseu,PA,59719,4,,7,,1,1,1,81,75,6
150295,1502954, Eldorado do Carajás,Eldorado do Carajás,PA,33808,4,,6,,,,,41,41,
150300,1503002, Faro,Faro,PA,7194,,,9,,,,,10,10,
150304,1503044, Floresta do Araguaia,Floresta do Araguaia,PA,20304,1,,5,,1,,1,20,20,
150307,1503077, Garrafão do Norte,Garrafão do Norte,PA,26066,1,,12,,2,2,2,20,20,
150309,1503093, Goianésia do Pará,Goianésia do Pará,PA,40475,1,,11,,,,,24,24,
150310,1503101, Gurupá,Gurupá,PA,33376,1,,4,,1,1,1,23,23,
150320,1503200, Igarapé-Açu,Igarapé-Açu,PA,38807,6,,14,,,,,45,45,
150330,1503309, Igarapé-Miri,Igarapé-Miri,PA,62698,6,,21,,,,,133,129,4
150340,1503408, Inhangapi,Inhangapi,PA,11711,1,,7,,,,,19,19,
150345,1503457, Ipixuna do Pará,Ipixuna do Pará,PA,64053,7,,21,2,,,,76,76,
150350,1503507, Irituia,Irituia,PA,32550,3,,9,,,,,30,30,
150360,1503606, Itaituba,Itaituba,PA,101247,14,,57,,2,2,1,413,84,329
