id_6char,id_7char,municipio_sus,municipio,uf,populacao,clinicos,intensivistas,enfermeiros,anestesiologistas,ventiladores_existentes,ventiladores_em_uso,estab_c_vent_sus,quantidade_leitos,leitos_sus,leitos_nao_sus
250480,2504801, Coremas,Coremas,PB,15445,9,,11,1,2,2,1,39,39,
250485,2504850,,Coxixola,PB,1921,1,,1,,,,,,,
250490,2504900,,Cruz do Espírito Santo,PB,17319,,,3,,,,,,,
250500,2505006, Cubati,Cubati,PB,7797,,,2,,,,,16,16,
250510,2505105, Cuité,Cuité,PB,20338,12,,22,,1,1,1,67,67,
250520,2505204,,Cuitegi,PB,6803,,,3,,,,,,,
250523,2505238,,Cuité de Mamanguape,PB,6353,2,,3,,,,,,,
250527,2505279,,Curral de Cima,PB,5227,,,3,,,,,,,
250530,2505303,,Curral Velho,PB,2516,,,1,,,,,,,
250535,2505352,,Damião,PB,5330,1,,5,,,,,,,
250540,2505402,,Desterro,PB,8297,1,,3,,,,,,,
250550,2505501,,Vista Serrana,PB,3798,,,,,,,,,,
250560,2505600, Diamante,Diamante,PB,6552,,,6,,1,1,1,,,
250570,2505709, Dona Inês,Dona Inês,PB,10453,4,,5,,1,1,1,12,12,
250580,2505808,,Duas Estradas,PB,3596,,,2,,,,,,,
250590,2505907,,Emas,PB,3522,,,,,,,,,,
250600,2506004, Esperança,Esperança,PB,33007,18,,24,,4,4,3,26,26,
250610,2506103,,Fagundes,PB,11253,1,,,,,,,,,
250620,2506202, Frei Martinho,Frei Martinho,PB,2989,1,,7,,,,,18,18,
250625,2506251,,Gado Bravo,PB,8316,,,3,,,,,,,
250630,2506301, Guarabira,Guarabira,PB,58833,41,,68,7,12,12,5,207,110,97
250640,2506400,,Gurinhém,PB,14129,1,,7,,,,,,,
250650,2506509, Gurjão,Gurjão,PB,3428,,,5,,,,,4,4,
250660,2506608, Ibiara,Ibiara,PB,5929,1,,9,,1,1,1,12,12,
250670,2506707,,Imaculada,PB,11819,4,,1,,,,,,,
250680,2506806, Ingá,Ingá,PB,18103,8,,20,,,,,10,10,
250690,2506905, Itabaiana,Itabaiana,PB,24477,15,,34,6,5,5,3,41,41,
250700,2507002, Itaporanga,Itaporanga,PB,24692,14,,31,1,4,4,3,48,48,
250710,2507101, Itapororoca,Itapororoca,PB,18664,1,,8,1,,,,18,18,
250720,2507200,,Itatuba,PB,10962,,,3,,,,,,,
250730,2507309, Jacaraú,Jacaraú,PB,14431,,,9,,1,1,1,8,8,
250740,2507408, Jericó,Jericó,PB,7739,1,,2,,,,,12,12,
250750,2507507, João Pessoa,João Pessoa,PB,809015,412,60,1505,153,419,373,26,2794,1849,945
250760,2507606,,Juarez Távora,PB,7936,,,1,,,,,,,
250770,2507705, Juazeirinho,Juazeirinho,PB,18171,1,,13,,,,,18,18,
250780,2507804,,Junco do Seridó,PB,7150,,,5,,,,,,,
250790,2507903, Juripiranga,Juripiranga,PB,10756,5,,8,,2,2,1,12,12,
250800,2508000, Juru,Juru,PB,9867,1,,7,,,,,11,11,
250810,2508109,,Lagoa,PB,4666,,,,,,,,,,
250820,2508208, Lagoa de Dentro,Lagoa de Dentro,PB,7719,3,,7,,1,1,1,19,19,
250830,2508307, Lagoa Seca,Lagoa Seca,PB,27503,11,,3,,1,1,1,28,28,
250840,2508406, Lastro,Lastro,PB,2737,2,,3,,,,,10,10,
250850,2508505,,Livramento,PB,7256,,,3,,,,,,,
250855,2508554,,Logradouro,PB,4332,3,,1,,,,,,,
250860,2508604, Lucena,Lucena,PB,13080,2,,3,,,,,2,2,
250870,2508703,,Mãe d'Água,PB,4009,,,2,,,,,,,
250880,2508802,,Malta,PB,5759,,,1,,,,,,,
250890,2508901, Mamanguape,Mamanguape,PB,44882,18,4,72,2,15,15,1,104,104,
250900,2509008,,Manaíra,PB,10955,3,,9,,,,,,,
250905,2509057,,Marcação,PB,8558,,,8,,,,,,,
250910,2509107, Mari,Mari,PB,21837,3,,12,,,,,6,6,
250915,2509156,,Marizópolis,PB,6617,,,1,,,,,,,
250920,2509206, Massaranduba,Massaranduba,PB,13918,5,,3,,,,,51,51,
250930,2509305,,Mataraca,PB,8434,2,,11,,,,,,,
250933,2509339,,Matinhas,PB,4500,,,,,,,,,,
250937,2509370,,Mato Grosso,PB,2908,,,,,,,,,,
250939,2509396,,Maturéia,PB,6569,,,2,,,,,,,
250940,2509404, Mogeiro,Mogeiro,PB,13284,1,,6,,1,1,1,,,
250950,2509503,,Montadas,PB,5669,,,1,,,,,,,
250960,2509602,,Monte Horebe,PB,4816,,,,,,,,,,
250970,2509701, Monteiro,Monteiro,PB,33222,25,,64,,6,4,2,77,63,14
250980,2509800,,Mulungu,PB,9902,1,,1,,,,,,,
250990,2509909, Natuba,Natuba,PB,10454,2,,7,,,,,19,19,
251000,2510006,,Nazarezinho,PB,7301,,,5,,,,,,,
251010,2510105, Nova Floresta,Nova Floresta,PB,10638,,,4,,,,,19,19,
251020,2510204, Nova Olinda,Nova Olinda,PB,5949,1,,5,,,,,22,22,
251030,2510303,,Nova Palmeira,PB,4906,1,,2,,,,,,,
251040,2510402, Olho d'Água,Olho d'Água,PB,6526,1,,,,,,,1,1,
251050,2510501,,Olivedos,PB,3932,,,,,,,,,,
251060,2510600,,Ouro Velho,PB,3039,2,,3,,,,,,,
251065,2510659,,Parari,PB,1771,,,1,,,,,,,
251070,2510709,,Passagem,PB,2419,,,,,,,,,,
251080,2510808, Patos,Patos,PB,107605,50,2,223,6,58,45,7,319,274,45
251090,2510907, Paulista,Paulista,PB,12347,3,,8,,,,,26,26,
251100,2511004,,Pedra Branca,PB,3801,,,,,,,,,,
251110,2511103, Pedra Lavrada,Pedra Lavrada,PB,7843,2,,6,,1,1,1,20,20,
251120,2511202, Pedras de Fogo,Pedras de Fogo,PB,28458,4,,19,1,1,1,1,47,47,
251130,2511301, Piancó,Piancó,PB,16075,21,,54,,2,2,1,86,78,8
251140,2511400, Picuí,Picuí,PB,18703,13,,17,1,4,4,2,100,100,
251150,2511509, Pilar,Pilar,PB,11917,5,,7,,,,,19,18,1
251160,2511608,,Pilões,PB,6635,,,,,,,,,,
251170,2511707,,Pilõezinhos,PB,4976,,,1,,,,,,,
251180,2511806,,Pirpirituba,PB,10579,2,,2,,,,,,,
251190,2511905,,Pitimbu,PB,19065,3,,10,,,,,,,
251200,2512002, Pocinhos,Pocinhos,PB,18564,2,,7,,,,,57,57,
251203,2512036,,Poço Dantas,PB,3888,,,,,,,,,,
251207,2512077,,Poço de José de Moura,PB,4307,,,1,,,,,,,
251210,2512101, Pombal,Pombal,PB,32801,20,,69,,14,8,2,94,94,
251220,2512200,,Prata,PB,4209,,,3,,,,,,,
251230,2512309, Princesa Isabel,Princesa Isabel,PB,23345,29,,38,1,6,6,3,55,51,4
251240,2512408,,Puxinanã,PB,13680,,,1,,,,,,,
251250,2512507, Queimadas,Queimadas,PB,43967,7,,25,,4,4,3,36,36,
251260,2512606,,Quixaba,PB,1956,,,,,,,,,,
251270,2512705,,Remígio,PB,19621,7,,9,,,,,,,
251272,2512721,,Pedro Régis,PB,6089,,,,,,,,,,
251274,2512747,,Riachão,PB,3588,,,5,,,,,,,
251275,2512754,,Riachão do Bacamarte,PB,4521,,,1,,,,,,,
251276,2512762,,Riachão do Poço,PB,4509,,,,,,,,,,
251278,2512788, Riacho de Santo Antônio,Riacho de Santo Antônio,PB,1948,,,4,,2,2,2,,,
251280,2512804, Riacho dos Cavalos,Riacho dos Cavalos,PB,8526,1,,8,,,,,8,8,
251290,2512903, Rio Tinto,Rio Tinto,PB,24176,5,,18,,2,2,2,,,
251300,2513000,,Salgadinho,PB,3885,,,,,,,,,,
251310,2513109,,Salgado de São Félix,PB,12140,1,,3,,,,,,,
251315,2513158,,Santa Cecília,PB,6558,,,1,,,,,,,
251320,2513208, Santa Cruz,Santa Cruz,PB,6583,,,4,,,,,13,13,
251330,2513307,,Santa Helena,PB,5889,,,3,,,,,,,
251335,2513356, Santa Inês,Santa Inês,PB,3595,,,1,,,,,10,10,
251340,2513406, Santa Luzia,Santa Luzia,PB,15382,11,,22,,1,1,1,36,36,
251350,2513505, Santana de Mangueira,Santana de Mangueira,PB,5162,,,3,,1,1,1,,,
251360,2513604, Santana dos Garrotes,Santana dos Garrotes,PB,7031,,,2,,1,,1,,,
251365,2513653,,Joca Claudino,PB,2636,,,5,,,,,,,
251370,2513703, Santa Rita,Santa Rita,PB,136586,29,4,146,2,89,85,3,163,149,14
251380,2513802, Santa Teresinha,Santa Teresinha,PB,4573,,,5,,1,1,1,,,
251385,2513851, Santo André,Santo André,PB,2521,,,2,,,,,6,6,
251390,2513901, São Bento,São Bento,PB,34031,5,,23,,1,1,1,47,47,
251392,2513927,,São Bentinho,PB,4529,1,,1,,,,,,,
251394,2513943,,São Domingos do Cariri,PB,2615,2,,2,,,,,,,
251396,2513968,,São Domingos,PB,3073,,,,,,,,,,
251398,2513984,,São Francisco,PB,3392,1,,,,,,,,,
251400,2514008,,São João do Cariri,PB,4199,,,5,,,,,,,
251410,2514107,,São João do Tigre,PB,4422,,,2,,,,,,,
251420,2514206, São José da Lagoa Tapada,São José da Lagoa Tapada,PB,7630,,,7,,1,,1,3,3,
251430,2514305, São José de Caiana,São José de Caiana,PB,6359,1,,2,,,,,15,15,
251440,2514404,,São José de Espinharas,PB,4682,,,,,,,,,,
251445,2514453,,São José dos Ramos,PB,5957,1,,2,,,,,,,
251450,2514503, São José de Piranhas,São José de Piranhas,PB,20251,6,,9,,,,,17,17,
251455,2514552,,São José de Princesa,PB,4003,,,,,,,,,,
251460,2514602,,São José do Bonfim,PB,3557,,,4,,,,,,,
251465,2514651,,São José do Brejo do Cruz,PB,1801,,,,,,,,,,
251470,2514701, São José do Sabugi,São José do Sabugi,PB,4141,1,,6,,1,1,1,4,4,
251480,2514800,,São José dos Cordeiros,PB,3628,,,,,,,,,,
251490,2514909, São Mamede,São Mamede,PB,7724,6,,10,,1,1,1,26,26,
251500,2515005,,São Miguel de Taipu,PB,7368,1,,3,,,,,,,
251510,2515104,,São Sebastião de Lagoa de Roça,PB,11661,,,6,,,,,,,
251520,2515203,,São Sebastião do Umbuzeiro,PB,3489,,,1,,,,,,,
251530,2515302, Sapé,Sapé,PB,52625,14,,32,,2,2,2,78,78,
251540,2515401, São Vicente do Seridó,São Vicente do Seridó,PB,10775,3,,10,,,,,24,24,
251550,2515500, Serra Branca,Serra Branca,PB,13699,5,,9,,1,1,1,58,58,
251560,2515609,,Serra da Raiz,PB,3148,,,1,,,,,,,
251570,2515708, Serra Grande,Serra Grande,PB,2909,,,8,,,,,12,12,
251580,2515807,,Serra Redonda,PB,7041,,,4,,,,,,,
251590,2515906, Serraria,Serraria,PB,6099,1,,7,,1,1,1,7,7,
251593,2515930,,Sertãozinho,PB,5024,,,,,,,,,,
251597,2515971,,Sobrado,PB,7783,,,2,,,,,,,
251600,2516003, Solânea,Solânea,PB,26407,4,,13,,3,3,2,34,34,
251610,2516102, Soledade,Soledade,PB,14989,4,,10,,3,3,1,22,22,
251615,2516151,,Sossêgo,PB,3555,,,1,,,,,,,
251620,2516201, Sousa,Sousa,PB,69444,29,,90,5,19,19,6,217,124,93
251630,2516300, Sumé,Sumé,PB,16966,3,,9,,10,1,2,41,41,
251640,2516409,,Tacima,PB,10911,,,1,,,,,,,
251650,2516508, Taperoá,Taperoá,PB,15376,6,,23,,4,4,1,52,52,
251660,2516607, Tavares,Tavares,PB,14726,4,,5,,,,,23,23,
251670,2516706, Teixeira,Teixeira,PB,15161,2,,6,,,,,39,39,
251675,2516755,,Tenório,PB,3058,,,1,,,,,,,
251680,2516805,,Triunfo,PB,9455,,,6,,,,,,,
251690,2516904, Uiraúna,Uiraúna,PB,15242,6,,30,,,,,47,47,
251700,2517001, Umbuzeiro,Umbuzeiro,PB,9907,1,,9,,2,2,2,,,
251710,2517100,,Várzea,PB,2810,,,7,,,,,,,
251720,2517209,,Vieirópolis,PB,5348,,,4,,,,,,,
251740,2517407,,Zabelê,PB,2240,,,1,,,,,,,
260005,2600054, Abreu e Lima,Abreu e Lima,PE,99990,26,,49,8,23,21,2,294,52,242
260010,2600104, Afogados da Ingazeira,Afogados da Ingazeira,PE,37259,32,,54,,5,5,2,181,155,26
260020,2600203, Afrânio,Afrânio,PE,19635,10,,7,,2,2,1,45,45,
260030,2600302, Agrestina,Agrestina,PE,24885,12,,17,3,1,1,1,123,76,47
260040,2600401, Água Preta,Água Preta,PE,36771,6,,10,,1,1,1,50,50,
260050,2600500, Águas Belas,Águas Belas,PE,43443,7,,15,,,,,30,30,
260060,2600609, Alagoinha,Alagoinha,PE,14636,5,,10,1,,,,11,11,
260070,2600708, Aliança,Aliança,PE,38386,5,,8,,,,,26,26,
260080,2600807, Altinho,Altinho,PE,22972,8,,8,,1,1,1,18,18,
260090,2600906, Amaraji,Amaraji,PE,22829,6,,8,,,,,31,31,
260100,2601003, Angelim,Angelim,PE,11150,2,,9,,1,,1,12,12,
260105,2601052, Araçoiaba,Araçoiaba,PE,20524,3,,8,,,,,3,3,
260110,2601102, Araripina,Araripina,PE,84418,15,,33,1,7,7,1,211,178,33
260120,2601201, Arcoverde,Arcoverde,PE,74338,46,3,111,8,8,8,2,144,100,44
260130,2601300, Barra de Guabiraba,Barra de Guabiraba,PE,14385,6,,5,,,,,11,11,
260140,2601409, Barreiros,Barreiros,PE,42659,21,,23,4,1,1,1,129,129,
260150,2601508, Belém de Maria,Belém de Maria,PE,12073,5,,8,,1,1,1,9,9,
260160,2601607, Belém do São Francisco,Belém do São Francisco,PE,20729,7,,9,,,,,24,24,
260170,2601706, Belo Jardim,Belo Jardim,PE,76439,14,,45,2,4,4,1,95,59,36
260180,2601805, Betânia,Betânia,PE,12719,5,,5,,,,,10,10,
260190,2601904, Bezerros,Bezerros,PE,60798,17,2,29,5,2,2,1,141,107,34
260200,2602001, Bodocó,Bodocó,PE,38146,11,,12,,,,,16,16,
260210,2602100, Bom Conselho,Bom Conselho,PE,48554,16,,11,1,1,1,1,46,46,
260220,2602209, Bom Jardim,Bom Jardim,PE,39184,10,,8,,1,1,1,33,33,
260230,2602308, Bonito,Bonito,PE,38134,7,,13,2,,,,52,52,
260240,2602407, Brejão,Brejão,PE,8993,1,,8,,,,,14,14,
260250,2602506, Brejinho,Brejinho,PE,7487,5,,1,,,,,7,7,
260260,2602605, Brejo da Madre de Deus,Brejo da Madre de Deus,PE,50742,8,,13,1,1,1,1,31,31,
260270,2602704, Buenos Aires,Buenos Aires,PE,13155,6,,6,,1,1,1,17,17,
260280,2602803, Buíque,Buíque,PE,58378,9,,17,,1,1,1,76,76,
260290,2602902, Cabo de Santo Agostinho,Cabo de Santo Agostinho,PE,207048,148,3,238,38,47,44,9,421,237,184
260300,2603009, Cabrobó,Cabrobó,PE,34221,7,,11,1,,,,74,74,
260310,2603108, Cachoeirinha,Cachoeirinha,PE,20380,6,,6,,,,,16,16,
260320,2603207, Caetés,Caetés,PE,28739,7,,7,1,1,1,1,20,20,
260330,2603306, Calçado,Calçado,PE,11053,5,,9,,,,,11,11,
260340,2603405, Calumbi,Calumbi,PE,5750,2,,4,,,,,17,17,
260345,2603454, Camaragibe,Camaragibe,PE,157828,35,,93,6,5,5,2,284,64,220
260350,2603504, Camocim de São Félix,Camocim de São Félix,PE,18765,3,,7,,,,,14,14,
260360,2603603, Camutanga,Camutanga,PE,8551,5,,7,,1,1,1,7,7,
260370,2603702, Canhotinho,Canhotinho,PE,24804,4,,12,,1,,1,32,32,
260380,2603801, Capoeiras,Capoeiras,PE,20048,1,,7,,1,1,1,25,25,
260390,2603900, Carnaíba,Carnaíba,PE,19551,7,,9,,,,,15,15,
260392,2603926, Carnaubeira da Penha,Carnaubeira da Penha,PE,12932,8,,9,,,,,11,11,
260400,2604007, Carpina,Carpina,PE,83641,30,,29,3,4,4,4,116,114,2
260410,2604106, Caruaru,Caruaru,PE,361118,182,17,670,57,206,179,14,891,674,217
260415,2604155, Casinhas,Casinhas,PE,14341,5,,7,,,,,28,28,
260420,2604205, Catende,Catende,PE,42892,1,,4,,,,,27,27,
260430,2604304, Cedro,Cedro,PE,11807,6,,8,,,,,18,18,
260440,2604403, Chã de Alegria,Chã de Alegria,PE,13518,9,,7,,1,1,1,19,19,
260450,2604502, Chã Grande,Chã Grande,PE,21698,4,,6,,1,1,1,40,38,2
260460,2604601, Condado,Condado,PE,26421,3,,5,,,,,21,21,
260470,2604700, Correntes,Correntes,PE,18207,1,,4,,,,,23,23,
260480,2604809, Cortês,Cortês,PE,12578,4,,11,,,,,39,39,
260490,2604908, Cumaru,Cumaru,PE,10906,5,,3,,1,1,1,19,19,
260500,2605004, Cupira,Cupira,PE,24107,4,,7,,,,,20,20,
260510,2605103, Custódia,Custódia,PE,37111,6,,13,1,,,,76,38,38
260515,2605152, Dormentes,Dormentes,PE,18908,8,,9,,,,,27,27,
260520,2605202, Escada,Escada,PE,68875,14,,15,1,,,,83,51,32
260530,2605301, Exu,Exu,PE,31825,12,,17,,,,,33,33,
260540,2605400, Feira Nova,Feira Nova,PE,22131,6,,11,,2,2,2,17,17,
260545,2605459, Fernando de Noronha,Fernando de Noronha,PE,3061,4,,9,,3,3,1,10,10,
260550,2605509, Ferreiros,Ferreiros,PE,12123,2,,2,,,,,7,7,
260560,2605608, Flores,Flores,PE,22624,6,,6,,,,,22,22,
260570,2605707, Floresta,Floresta,PE,32873,11,,12,,,,,71,61,10
260580,2605806, Frei Miguelinho,Frei Miguelinho,PE,15457,3,,9,,,,,11,11,
260590,2605905, Gameleira,Gameleira,PE,31052,4,,8,,,,,23,23,
260600,2606002, Garanhuns,Garanhuns,PE,139788,31,1,138,1,53,44,4,333,239,94
260610,2606101, Glória do Goitá,Glória do Goitá,PE,30604,8,,5,,,,,24,24,
260620,2606200, Goiana,Goiana,PE,79758,33,,87,3,11,11,3,141,98,43
260630,2606309, Granito,Granito,PE,7486,5,,5,,,,,19,19,
260640,2606408, Gravatá,Gravatá,PE,84074,17,,19,,1,1,1,98,56,42
260650,2606507, Iati,Iati,PE,19197,2,,4,,1,1,1,22,22,
260660,2606606, Ibimirim,Ibimirim,PE,29235,1,,11,,1,1,1,19,19,
260670,2606705, Ibirajuba,Ibirajuba,PE,7762,5,,3,,1,1,1,16,16,
260680,2606804, Igarassu,Igarassu,PE,117019,40,,74,3,3,3,2,342,98,244
260690,2606903, Iguaracy,Iguaracy,PE,12228,2,,6,,,,,16,16,
260700,2607000, Inajá,Inajá,PE,23247,5,,11,,,,,13,13,
260710,2607109, Ingazeira,Ingazeira,PE,4548,1,,5,,1,1,1,4,4,
260720,2607208, Ipojuca,Ipojuca,PE,96204,84,,87,7,13,13,8,32,32,
260730,2607307, Ipubi,Ipubi,PE,30854,7,,12,,,,,38,38,
260740,2607406, Itacuruba,Itacuruba,PE,4918,3,,5,,,,,14,14,
260750,2607505, Itaíba,Itaíba,PE,26349,3,,7,,,,,21,21,
260760,2607604, Ilha de Itamaracá,Ilha de Itamaracá,PE,26258,12,,30,,1,1,1,14,14,
260765,2607653, Itambé,Itambé,PE,36447,10,,11,,2,2,2,42,42,
260770,2607703, Itapetim,Itapetim,PE,13616,,,4,,,,,25,25,
260775,2607752, Itapissuma,Itapissuma,PE,26651,9,,13,,2,2,2,1,1,
260780,2607802, Itaquitinga,Itaquitinga,PE,16955,2,,12,,,,,14,14,
260790,2607901, Jaboatão dos Guararapes,Jaboatão dos Guararapes,PE,702298,295,7,368,51,132,127,12,726,551,175
260795,2607950, Jaqueira,Jaqueira,PE,11656,4,,7,,,,,32,32,
260800,2608008, Jataúba,Jataúba,PE,17150,7,,10,,,,,13,13,
260805,2608057, Jatobá,Jatobá,PE,14796,7,,15,1,,,,23,23,
260810,2608107, João Alfredo,João Alfredo,PE,33822,8,,6,,,,,23,23,
260820,2608206, Joaquim Nabuco,Joaquim Nabuco,PE,16023,,,7,,,,,14,14,
260825,2608255, Jucati,Jucati,PE,11424,1,,4,,,,,6,6,
260830,2608305, Jupi,Jupi,PE,14836,2,,6,,,,,9,9,
260840,2608404, Jurema,Jurema,PE,15378,2,,5,,2,2,2,18,18,
260845,2608453, Lagoa do Carro,Lagoa do Carro,PE,18071,2,,8,,1,1,1,13,13,
260850,2608503, Lagoa de Itaenga,Lagoa de Itaenga,PE,21429,3,,9,,1,1,1,20,20,
260860,2608602, Lagoa do Ouro,Lagoa do Ouro,PE,13145,1,,10,,3,3,2,26,26,
260870,2608701, Lagoa dos Gatos,Lagoa dos Gatos,PE,16290,,,3,,,,,17,17,
260875,2608750, Lagoa Grande,Lagoa Grande,PE,25601,6,,12,,,,,27,27,
260880,2608800, Lajedo,Lajedo,PE,40288,9,,11,,2,2,2,21,21,
260890,2608909, Limoeiro,Limoeiro,PE,56250,15,,63,4,16,16,4,126,99,27
260900,2609006, Macaparana,Macaparana,PE,25376,7,,8,,2,2,2,52,52,
260910,2609105, Machados,Machados,PE,16088,1,,8,,2,2,1,9,9,
260915,2609154, Manari,Manari,PE,21434,3,,6,,,,,16,16,
260920,2609204, Maraial,Maraial,PE,11345,,,2,,,,,13,13,
260930,2609303, Mirandiba,Mirandiba,PE,15390,1,,8,,,,,34,34,
260940,2609402, Moreno,Moreno,PE,62784,15,2,22,5,3,3,2,67,67,
260950,2609501, Nazaré da Mata,Nazaré da Mata,PE,32471,13,,26,3,2,2,1,40,40,
260960,2609600, Olinda,Olinda,PE,392482,151,2,179,18,127,125,6,489,249,240
260970,2609709, Orobó,Orobó,PE,23884,2,,4,,2,2,2,20,20,
260980,2609808, Orocó,Orocó,PE,14991,4,,4,,,,,11,11,
260990,2609907, Ouricuri,Ouricuri,PE,69459,15,1,38,3,15,15,1,98,92,6
261000,2610004, Palmares,Palmares,PE,63250,30,1,41,4,45,45,4,274,243,31
261010,2610103, Palmeirina,Palmeirina,PE,7693,3,,5,,7,7,2,10,10,
261020,2610202, Panelas,Panelas,PE,26474,2,,5,,1,1,1,26,26,
261030,2610301, Paranatama,Paranatama,PE,11523,2,,11,,,,,20,20,
261040,2610400, Parnamirim,Parnamirim,PE,22010,1,,7,,,,,29,29,
261050,2610509, Passira,Passira,PE,28933,3,,7,,,,,25,25,
261060,2610608, Paudalho,Paudalho,PE,56506,21,,25,,2,2,2,141,98,43
261070,2610707, Paulista,Paulista,PE,331774,126,21,221,19,109,106,7,519,416,103
261080,2610806, Pedra,Pedra,PE,22617,3,,9,,1,1,1,23,23,
261090,2610905, Pesqueira,Pesqueira,PE,67395,14,,27,,1,1,,167,125,42
261100,2611002, Petrolândia,Petrolândia,PE,36548,19,,16,1,1,1,1,119,119,
261110,2611101, Petrolina,Petrolina,PE,349145,170,3,427,33,150,143,11,726,433,293
261120,2611200, Poção,Poção,PE,11302,2,,7,,,,,14,14,
261130,2611309, Pombos,Pombos,PE,27091,3,,11,1,,,,21,21,
261140,2611408, Primavera,Primavera,PE,14966,3,,2,,1,1,1,4,4,
261150,2611507, Quipapá,Quipapá,PE,26037,2,,8,,1,1,1,50,50,
261153,2611533,,Quixaba,PE,6813,4,,7,,,,,,,
261160,2611606, Recife,Recife,PE,1645727,1190,121,3816,449,1745,1624,55,8328,6032,2296
261170,2611705, Riacho das Almas,Riacho das Almas,PE,20546,,,3,,1,1,1,30,30,
261180,2611804, Ribeirão,Ribeirão,PE,47415,,,7,,1,1,1,7,7,
261190,2611903, Rio Formoso,Rio Formoso,PE,23535,1,,5,,1,1,1,16,16,
261200,2612000, Sairé,Sairé,PE,9932,4,,4,,,,,20,20,
261210,2612109, Salgadinho,Salgadinho,PE,10919,3,,2,,,,,5,5,
261220,2612208, Salgueiro,Salgueiro,PE,60930,26,,79,3,5,4,2,232,167,65
261230,2612307, Saloá,Saloá,PE,15843,1,,6,,,,,19,19,
261240,2612406, Sanharó,Sanharó,PE,26462,4,,7,,,,,14,14,
261245,2612455, Santa Cruz,Santa Cruz,PE,15398,2,,9,,,,,24,24,
261247,2612471, Santa Cruz da Baixa Verde,Santa Cruz da Baixa Verde,PE,12592,2,,4,,,,,15,15,
261250,2612505, Santa Cruz do Capibaribe,Santa Cruz do Capibaribe,PE,107937,20,,26,,1,1,1,76,70,6
261255,2612554, Santa Filomena,Santa Filomena,PE,14477,2,,2,,,,,17,17,
261260,2612604, Santa Maria da Boa Vista,Santa Maria da Boa Vista,PE,41931,4,,7,,,,,43,43,
261270,2612703,,Santa Maria do Cambucá,PE,14137,1,,3,,,,,,,
261280,2612802, Santa Terezinha,Santa Terezinha,PE,11815,3,,4,,,,,13,13,
261290,2612901, São Benedito do Sul,São Benedito do Sul,PE,15895,,,4,,,,,28,28,
261300,2613008, São Bento do Una,São Bento do Una,PE,59504,7,,11,,3,3,2,46,46,
261310,2613107, São Caitano,São Caitano,PE,37245,4,,3,,1,1,1,53,53,
261320,2613206, São João,São João,PE,22793,1,,9,,1,1,1,20,20,
261330,2613305, São Joaquim do Monte,São Joaquim do Monte,PE,21356,5,,8,,,,,34,34,
261340,2613404, São José da Coroa Grande,São José da Coroa Grande,PE,21298,2,,2,,3,2,2,22,22,
261350,2613503, São José do Belmonte,São José do Belmonte,PE,33959,5,,8,1,,,,37,37,
261360,2613602, São José do Egito,São José do Egito,PE,33951,10,,11,,2,2,1,73,65,8
261370,2613701, São Lourenço da Mata,São Lourenço da Mata,PE,113230,29,,40,,15,15,3,97,97,
261380,2613800, São Vicente Ferrer,São Vicente Férrer,PE,18018,6,,6,,3,3,2,29,29,
261390,2613909, Serra Talhada,Serra Talhada,PE,86350,40,,85,1,26,24,3,441,324,117
261400,2614006, Serrita,Serrita,PE,19165,5,,7,,1,1,1,32,32,
261410,2614105, Sertânia,Sertânia,PE,35907,10,,6,,1,1,,83,64,19
261420,2614204, Sirinhaém,Sirinhaém,PE,45865,1,,1,,1,1,1,26,26,
261430,2614303, Moreilândia,Moreilândia,PE,11270,4,,7,,,,,22,22,
261440,2614402, Solidão,Solidão,PE,6007,3,,5,,,,,13,7,6
261450,2614501, Surubim,Surubim,PE,65089,16,,28,1,4,4,4,180,175,5
261460,2614600, Tabira,Tabira,PE,28534,2,,8,,2,2,1,55,35,20
261470,2614709,,Tacaimbó,PE,12874,1,,2,,,,,,,
261480,2614808, Tacaratu,Tacaratu,PE,25765,3,,11,,,,,17,17,
261485,2614857, Tamandaré,Tamandaré,PE,23388,2,,4,,1,1,1,16,16,
261500,2615003, Taquaritinga do Norte,Taquaritinga do Norte,PE,28775,5,,8,1,2,2,1,56,56,
261510,2615102, Terezinha,Terezinha,PE,7169,5,,4,,,,,8,8,
261520,2615201, Terra Nova,Terra Nova,PE,10096,1,,4,,,,,11,11,
261530,2615300, Timbaúba,Timbaúba,PE,53022,9,,16,1,2,2,2,137,106,31
261540,2615409, Toritama,Toritama,PE,45219,1,,8,,,,,28,28,
261550,2615508, Tracunhaém,Tracunhaém,PE,13769,4,,7,,,,,11,11,
261560,2615607, Trindade,Trindade,PE,30521,8,,15,,1,1,,81,37,44
261570,2615706, Triunfo,Triunfo,PE,15254,3,,5,,,,,13,13,
261580,2615805, Tupanatinga,Tupanatinga,PE,27304,4,,4,,,,,19,19,
261590,2615904, Tuparetama,Tuparetama,PE,8202,3,,4,,,,,39,39,
261600,2616001, Venturosa,Venturosa,PE,18482,1,,6,,,,,24,24,
261610,2616100, Verdejante,Verdejante,PE,9534,2,,5,,,,,15,15,
261618,2616183,,Vertente do Lério,PE,7618,1,,,,,,,,,
261620,2616209, Vertentes,Vertentes,PE,20731,2,,2,,1,1,1,50,50,
261630,2616308, Vicência,Vicência,PE,32643,3,,9,,,,,30,30,
261640,2616407, Vitória de Santo Antão,Vitória de Santo Antão,PE,138757,36,,88,2,18,18,7,385,251,134
261650,2616506, Xexéu,Xexéu,PE,14725,2,,8,,,,,14,14,
