city,city_ibge_code,confirmed,confirmed_per_100k_inhabitants,date,death_rate,deaths,estimated_population_2019,is_last,place_type,state,last_update
Fortaleza,2304400,76,2.84714,2020-03-21,,0.0,2669342.0,False,city,CE,2020-03-26 15:52:13.650364
,41,70,0.61221,2020-03-24,,0.0,11433957.0,False,state,PR,2020-03-26 15:52:13.650364
,43,69,0.60647,2020-03-21,,0.0,11377239.0,False,state,RS,2020-03-26 15:52:13.650364
,42,68,0.94909,2020-03-22,,0.0,7164788.0,False,state,SC,2020-03-26 15:52:13.650364
,23,68,0.74463,2020-03-20,,0.0,9132078.0,False,state,CE,2020-03-26 15:52:13.650364
Fortaleza,2304400,63,2.36013,2020-03-20,,0.0,2669342.0,False,city,CE,2020-03-26 15:52:13.650364
,29,63,0.42358,2020-03-23,,0.0,14873064.0,False,state,BA,2020-03-26 15:52:13.650364
Belo Horizonte,3106200,60,2.38847,2020-03-23,,0.0,2512070.0,False,city,MG,2020-03-26 15:52:13.650364
Curitiba,4106902,60,3.10381,2020-03-25,,0.0,1933105.0,True,city,PR,2020-03-26 15:52:13.650364
,41,60,0.52475,2020-03-23,,0.0,11433957.0,False,state,PR,2020-03-26 15:52:13.650364
,42,57,0.79556,2020-03-21,,0.0,7164788.0,False,state,SC,2020-03-26 15:52:13.650364
,31,55,0.25982,2020-03-21,,0.0,21168791.0,False,state,MG,2020-03-26 15:52:13.650364
,29,55,0.3698,2020-03-22,,0.0,14873064.0,False,state,BA,2020-03-26 15:52:13.650364
Salvador,2927408,54,1.88,2020-03-25,,0.0,2872347.0,True,city,BA,2020-03-26 15:52:13.650364
,13,54,1.3029,2020-03-25,0.0185,1.0,4144597.0,True,state,AM,2020-03-26 15:52:13.650364
,41,54,0.47228,2020-03-22,,0.0,11433957.0,False,state,PR,2020-03-26 15:52:13.650364
Manaus,1302603,52,2.3823,2020-03-25,,,2182763.0,True,city,AM,2020-03-26 15:52:13.650364
,13,47,1.13401,2020-03-24,0.0213,1.0,4144597.0,False,state,AM,2020-03-26 15:52:13.650364
Porto Alegre,4314902,47,3.1676,2020-03-24,,,1483771.0,False,city,RS,2020-03-26 15:52:13.650364
,26,46,0.48132,2020-03-26,0.0652,3.0,9557071.0,True,state,PE,2020-03-26 15:52:13.650364
,26,46,0.48132,2020-03-25,0.0217,1.0,9557071.0,False,state,PE,2020-03-26 15:52:13.650364
Manaus,1302603,45,2.06161,2020-03-24,,,2182763.0,False,city,AM,2020-03-26 15:52:13.650364
Salvador,2927408,45,1.56666,2020-03-24,,0.0,2872347.0,False,city,BA,2020-03-26 15:52:13.650364
,41,43,0.37607,2020-03-21,,0.0,11433957.0,False,state,PR,2020-03-26 15:52:13.650364
Importados/Indefinidos,,43,,2020-03-25,,0.0,,True,city,SP,2020-03-26 15:52:13.650364
,26,42,0.43947,2020-03-23,,0.0,9557071.0,False,state,PE,2020-03-26 15:52:13.650364
,26,42,0.43947,2020-03-24,,0.0,9557071.0,False,state,PE,2020-03-26 15:52:13.650364
Porto Alegre,4314902,41,2.76323,2020-03-23,,,1483771.0,False,city,RS,2020-03-26 15:52:13.650364
,29,41,0.27567,2020-03-21,,0.0,14873064.0,False,state,BA,2020-03-26 15:52:13.650364
,32,40,0.99536,2020-03-24,,,4018650.0,False,state,ES,2020-03-26 15:52:13.650364
Curitiba,4106902,40,2.06921,2020-03-24,,0.0,1933105.0,False,city,PR,2020-03-26 15:52:13.650364
,32,40,0.99536,2020-03-25,,,4018650.0,True,state,ES,2020-03-26 15:52:13.650364
Porto Alegre,4314902,38,2.56104,2020-03-22,,,1483771.0,False,city,RS,2020-03-26 15:52:13.650364
,31,38,0.17951,2020-03-20,,0.0,21168791.0,False,state,MG,2020-03-26 15:52:13.650364
Salvador,2927408,37,1.28815,2020-03-23,,0.0,2872347.0,False,city,BA,2020-03-26 15:52:13.650364
,26,37,0.38715,2020-03-22,,0.0,9557071.0,False,state,PE,2020-03-26 15:52:13.650364
Porto Alegre,4314902,35,2.35885,2020-03-21,,0.0,1483771.0,False,city,RS,2020-03-26 15:52:13.650364
,52,35,0.49869,2020-03-25,,0.0,7018354.0,True,state,GO,2020-03-26 15:52:13.650364
