,region_id,municipio,uf,populacao,quantidade_leitos
0,AC,AC,AC,881935,1484.0
1,AL,AL,AL,3337357,5891.0
2,AM,AM,AM,4144597,5700.0
3,AP,AP,AP,845731,1098.0
4,BA,BA,BA,14873064,28960.0
5,CE,CE,CE,9132078,18510.0
6,DF,DF,DF,3015268,6705.0
7,ES,ES,ES,4018650,7929.0
8,GO,GO,GO,7018354,17445.0
9,MA,MA,MA,7075181,13778.0
10,MG,MG,MG,21168791,40699.0
11,MS,MS,MS,2778986,5596.0
12,MT,MT,MT,3484466,7156.0
13,PA,PA,PA,8602865,13584.0
14,PB,PB,PB,4018127,8171.0
15,PE,PE,PE,9557071,20961.0
16,PI,PI,PI,3273227,7460.0
17,PR,PR,PR,11433957,27502.0
18,RJ,RJ,RJ,17264943,32736.0
19,RN,RN,RN,3506853,7272.0
20,RO,RO,RO,1777225,4286.0
21,RR,RR,RR,605761,1133.0
22,RS,RS,RS,11377239,30123.0
23,SC,SC,SC,7164788,15322.0
24,SE,SE,SE,2298696,3212.0
25,SP,SP,SP,45919049,90603.0
26,TO,TO,TO,1572866,3072.0
0,ALTA FLORESTA DOESTE RO,Alta Floresta DOeste,RO,22945,49.0
1,ARIQUEMES RO,Ariquemes,RO,107863,240.0
2,CABIXI RO,Cabixi,RO,5312,9.0
3,CACOAL RO,Cacoal,RO,85359,360.0
4,CEREJEIRAS RO,Cerejeiras,RO,16323,40.0
5,COLORADO DO OESTE RO,Colorado do Oeste,RO,15882,50.0
6,CORUMBIARA RO,Corumbiara,RO,7391,16.0
7,COSTA MARQUES RO,Costa Marques,RO,18331,45.0
8,ESPIGAO DOESTE RO,Espigão DOeste,RO,32374,54.0
9,GUAJARA-MIRIM RO,Guajará-Mirim,RO,46174,97.0
10,JARU RO,Jaru,RO,51775,115.0
11,JI-PARANA RO,Ji-Paraná,RO,128969,259.0
12,MACHADINHO DOESTE RO,Machadinho DOeste,RO,39991,48.0
13,NOVA BRASILANDIA DOESTE RO,Nova Brasilândia DOeste,RO,20474,44.0
14,OURO PRETO DO OESTE RO,Ouro Preto do Oeste,RO,36035,117.0
15,PIMENTA BUENO RO,Pimenta Bueno,RO,36660,58.0
16,PORTO VELHO RO,Porto Velho,RO,529544,1701.0
17,PRESIDENTE MEDICI RO,Presidente Médici,RO,18986,45.0
18,RIO CRESPO RO,Rio Crespo,RO,3764,9.0
19,ROLIM DE MOURA RO,Rolim de Moura,RO,55058,94.0
20,SANTA LUZIA DOESTE RO,Santa Luzia DOeste,RO,6495,25.0
21,VILHENA RO,Vilhena,RO,99854,206.0
22,SAO MIGUEL DO GUAPORE RO,São Miguel do Guaporé,RO,23005,44.0
23,NOVA MAMORE RO,Nova Mamoré,RO,30583,20.0
24,ALVORADA DOESTE RO,Alvorada DOeste,RO,14411,35.0
25,ALTO ALEGRE DOS PARECIS RO,Alto Alegre dos Parecis,RO,13241,16.0
26,ALTO PARAISO RO,Alto Paraíso,RO,21428,16.0
27,BURITIS RO,Buritis,RO,39654,66.0
28,NOVO HORIZONTE DO OESTE RO,Novo Horizonte do Oeste,RO,8538,18.0
29,CACAULANDIA RO,Cacaulândia,RO,6230,26.0
30,CAMPO NOVO DE RONDONIA RO,Campo Novo de Rondônia,RO,14139,19.0
31,CANDEIAS DO JAMARI RO,Candeias do Jamari,RO,26693,15.0
32,CASTANHEIRAS RO,Castanheiras,RO,3052,7.0
33,CHUPINGUAIA RO,Chupinguaia,RO,11182,10.0
34,CUJUBIM RO,Cujubim,RO,25215,11.0
35,GOVERNADOR JORGE TEIXEIRA RO,Governador Jorge Teixeira,RO,7767,22.0
36,ITAPUA DO OESTE RO,Itapuã do Oeste,RO,10458,20.0
37,MINISTRO ANDREAZZA RO,Ministro Andreazza,RO,9660,16.0
38,MIRANTE DA SERRA RO,Mirante da Serra,RO,10947,25.0
39,MONTE NEGRO RO,Monte Negro,RO,15852,40.0
40,NOVA UNIAO RO,Nova União,RO,6970,15.0
41,PARECIS RO,Parecis,RO,6074,8.0
42,PIMENTEIRAS DO OESTE RO,Pimenteiras do Oeste,RO,2169,9.0
43,PRIMAVERA DE RONDONIA RO,Primavera de Rondônia,RO,2856,0.0
44,SAO FELIPE DOESTE RO,São Felipe DOeste,RO,5172,7.0
45,SAO FRANCISCO DO GUAPORE RO,São Francisco do Guaporé,RO,20266,29.0
46,SERINGUEIRAS RO,Seringueiras,RO,11856,36.0
47,TEIXEIROPOLIS RO,Teixeirópolis,RO,4308,9.0
48,THEOBROMA RO,Theobroma,RO,10444,13.0
49,URUPA RO,Urupá,RO,11467,25.0
50,VALE DO ANARI RO,Vale do Anari,RO,11204,12.0
51,VALE DO PARAISO RO,Vale do Paraíso,RO,6825,16.0
52,ACRELANDIA AC,Acrelândia,AC,15256,16.0
53,ASSIS BRASIL AC,Assis Brasil,AC,7417,12.0
54,BRASILEIA AC,Brasiléia,AC,26278,40.0
55,BUJARI AC,Bujari,AC,10266,0.0
56,CAPIXABA AC,Capixaba,AC,11733,0.0
57,CRUZEIRO DO SUL AC,Cruzeiro do Sul,AC,88376,175.0
58,EPITACIOLANDIA AC,Epitaciolândia,AC,18411,0.0
59,FEIJO AC,Feijó,AC,34780,41.0
60,JORDAO AC,Jordão,AC,8317,10.0
61,MANCIO LIMA AC,Mâncio Lima,AC,18977,25.0
62,MANOEL URBANO AC,Manoel Urbano,AC,9459,26.0
63,MARECHAL THAUMATURGO AC,Marechal Thaumaturgo,AC,18867,13.0
64,PLACIDO DE CASTRO AC,Plácido de Castro,AC,19761,52.0
65,PORTO WALTER AC,Porto Walter,AC,11982,14.0
66,RIO BRANCO AC,Rio Branco,AC,407319,877.0
67,RODRIGUES ALVES AC,Rodrigues Alves,AC,18930,16.0
68,SANTA ROSA DO PURUS AC,Santa Rosa do Purus,AC,6540,16.0
69,SENADOR GUIOMARD AC,Senador Guiomard,AC,23024,29.0
70,SENA MADUREIRA AC,Sena Madureira,AC,45848,50.0
71,TARAUACA AC,Tarauacá,AC,42567,42.0
72,XAPURI AC,Xapuri,AC,19323,30.0
73,PORTO ACRE AC,Porto Acre,AC,18504,0.0
74,ALVARAES AM,Alvarães,AM,16041,22.0
75,AMATURA AM,Amaturá,AM,11536,30.0
76,ANAMA AM,Anamã,AM,13614,20.0
77,ANORI AM,Anori,AM,21010,23.0
78,APUI AM,Apuí,AM,21973,42.0
79,ATALAIA DO NORTE AM,Atalaia do Norte,AM,19921,30.0
80,AUTAZES AM,Autazes,AM,39565,31.0
81,BARCELOS AM,Barcelos,AM,27502,30.0
82,BARREIRINHA AM,Barreirinha,AM,32041,31.0
83,BENJAMIN CONSTANT AM,Benjamin Constant,AM,42984,37.0
84,BERURI AM,Beruri,AM,19679,13.0
85,BOA VISTA DO RAMOS AM,Boa Vista do Ramos,AM,19207,22.0
86,BOCA DO ACRE AM,Boca do Acre,AM,34308,61.0
87,BORBA AM,Borba,AM,41161,38.0
88,CAAPIRANGA AM,Caapiranga,AM,13081,18.0
89,CANUTAMA AM,Canutama,AM,15629,16.0
90,CARAUARI AM,Carauari,AM,28294,50.0
91,CAREIRO AM,Careiro,AM,37869,20.0
92,CAREIRO DA VARZEA AM,Careiro da Várzea,AM,30225,0.0
93,COARI AM,Coari,AM,85097,105.0
94,CODAJAS AM,Codajás,AM,28637,47.0
95,EIRUNEPE AM,Eirunepé,AM,35273,80.0
96,ENVIRA AM,Envira,AM,20033,24.0
97,FONTE BOA AM,Fonte Boa,AM,17609,58.0
98,GUAJARA AM,Guajará,AM,16678,20.0
99,HUMAITA AM,Humaitá,AM,55080,38.0
100,IPIXUNA AM,Ipixuna,AM,29689,26.0
101,IRANDUBA AM,Iranduba,AM,48296,32.0
102,ITACOATIARA AM,Itacoatiara,AM,101337,108.0
103,ITAMARATI AM,Itamarati,AM,7851,15.0
104,ITAPIRANGA AM,Itapiranga,AM,9148,18.0
105,JAPURA AM,Japurá,AM,2755,20.0
106,JURUA AM,Juruá,AM,14712,20.0
107,JUTAI AM,Jutaí,AM,14317,18.0
108,LABREA AM,Lábrea,AM,46069,56.0
109,MANACAPURU AM,Manacapuru,AM,97377,72.0
110,MANAQUIRI AM,Manaquiri,AM,32105,20.0
111,MANAUS AM,Manaus,AM,2182763,3372.0
112,MANICORE AM,Manicoré,AM,55751,60.0
113,MARAA AM,Maraã,AM,18224,19.0
114,MAUES AM,Maués,AM,63905,90.0
115,NHAMUNDA AM,Nhamundá,AM,21173,19.0
116,NOVA OLINDA DO NORTE AM,Nova Olinda do Norte,AM,37378,31.0
117,NOVO AIRAO AM,Novo Airão,AM,19454,22.0
118,NOVO ARIPUANA AM,Novo Aripuanã,AM,25644,31.0
119,PARINTINS AM,Parintins,AM,114273,135.0
120,PAUINI AM,Pauini,AM,19426,26.0
121,PRESIDENTE FIGUEIREDO AM,Presidente Figueiredo,AM,36279,29.0
122,RIO PRETO DA EVA AM,Rio Preto da Eva,AM,33347,29.0
123,SANTA ISABEL DO RIO NEGRO AM,Santa Isabel do Rio Negro,AM,25156,20.0
124,SANTO ANTONIO DO ICA AM,Santo Antônio do Içá,AM,21602,53.0
125,SAO GABRIEL DA CACHOEIRA AM,São Gabriel da Cachoeira,AM,45564,89.0
126,SAO PAULO DE OLIVENCA AM,São Paulo de Olivença,AM,39299,22.0
127,SAO SEBASTIAO DO UATUMA AM,São Sebastião do Uatumã,AM,14020,20.0
128,SILVES AM,Silves,AM,9171,20.0
129,TABATINGA AM,Tabatinga,AM,65844,51.0
130,TAPAUA AM,Tapauá,AM,17156,35.0
131,TEFE AM,Tefé,AM,59849,92.0
132,TONANTINS AM,Tonantins,AM,18755,33.0
133,UARINI AM,Uarini,AM,13540,20.0
134,URUCARA AM,Urucará,AM,16256,39.0
135,URUCURITUBA AM,Urucurituba,AM,23065,32.0
136,AMAJARI RR,Amajari,RR,12796,0.0
137,ALTO ALEGRE RR,Alto Alegre,RR,15510,26.0
138,BOA VISTA RR,Boa Vista,RR,399213,935.0
139,BONFIM RR,Bonfim,RR,12409,14.0
140,CANTA RR,Cantá,RR,18335,0.0
141,CARACARAI RR,Caracaraí,RR,21926,24.0
142,CAROEBE RR,Caroebe,RR,10169,16.0
143,IRACEMA RR,Iracema,RR,11950,1.0
144,MUCAJAI RR,Mucajaí,RR,17853,22.0
145,NORMANDIA RR,Normandia,RR,11290,20.0
146,PACARAIMA RR,Pacaraima,RR,17401,13.0
147,RORAINOPOLIS RR,Rorainópolis,RR,30163,30.0
148,SAO JOAO DA BALIZA RR,São João da Baliza,RR,8201,15.0
149,SAO LUIZ RR,São Luiz,RR,7986,17.0
150,UIRAMUTA RR,Uiramutã,RR,10559,0.0
151,ABAETETUBA PA,Abaetetuba,PA,157698,224.0
152,ABEL FIGUEIREDO PA,Abel Figueiredo,PA,7434,21.0
153,ACARA PA,Acará,PA,55591,33.0
154,AFUA PA,Afuá,PA,39218,30.0
155,AGUA AZUL DO NORTE PA,Água Azul do Norte,PA,27430,40.0
156,ALENQUER PA,Alenquer,PA,56789,97.0
157,ALMEIRIM PA,Almeirim,PA,34109,94.0
158,ALTAMIRA PA,Altamira,PA,114594,251.0
159,ANAJAS PA,Anajás,PA,29277,20.0
160,ANANINDEUA PA,Ananindeua,PA,530598,853.0
161,ANAPU PA,Anapu,PA,27890,35.0
162,AUGUSTO CORREA PA,Augusto Corrêa,PA,45998,86.0
163,AURORA DO PARA PA,Aurora do Pará,PA,31338,58.0
164,AVEIRO PA,Aveiro,PA,16388,0.0
165,BAGRE PA,Bagre,PA,30673,15.0
166,BAIAO PA,Baião,PA,47446,30.0
167,BANNACH PA,Bannach,PA,3286,10.0
168,BARCARENA PA,Barcarena,PA,124680,145.0
169,BELEM PA,Belém,PA,1492745,3472.0
170,BELTERRA PA,Belterra,PA,17732,20.0
171,BENEVIDES PA,Benevides,PA,62737,0.0
172,BOM JESUS DO TOCANTINS PA,Bom Jesus do Tocantins,PA,16981,31.0
173,BONITO PA,Bonito,PA,16286,0.0
174,BRAGANCA PA,Bragança,PA,127686,344.0
175,BRASIL NOVO PA,Brasil Novo,PA,15086,33.0
176,BREJO GRANDE DO ARAGUAIA PA,Brejo Grande do Araguaia,PA,7380,24.0
177,BREU BRANCO PA,Breu Branco,PA,66046,44.0
178,BREVES PA,Breves,PA,102701,140.0
179,BUJARU PA,Bujaru,PA,29132,43.0
180,CACHOEIRA DO PIRIA PA,Cachoeira do Piriá,PA,33900,0.0
181,CACHOEIRA DO ARARI PA,Cachoeira do Arari,PA,23767,20.0
182,CAMETA PA,Cametá,PA,137890,183.0
183,CANAA DOS CARAJAS PA,Canaã dos Carajás,PA,37085,73.0
184,CAPANEMA PA,Capanema,PA,69027,278.0
185,CAPITAO POCO PA,Capitão Poço,PA,54303,146.0
186,CASTANHAL PA,Castanhal,PA,200793,402.0
187,CHAVES PA,Chaves,PA,23717,9.0
188,COLARES PA,Colares,PA,12085,8.0
189,CONCEICAO DO ARAGUAIA PA,Conceição do Araguaia,PA,47864,119.0
190,CONCORDIA DO PARA PA,Concórdia do Pará,PA,33318,25.0
191,CUMARU DO NORTE PA,Cumaru do Norte,PA,13473,11.0
192,CURIONOPOLIS PA,Curionópolis,PA,17929,50.0
193,CURRALINHO PA,Curralinho,PA,34448,26.0
194,CURUA PA,Curuá,PA,14393,0.0
195,CURUCA PA,Curuçá,PA,40066,27.0
196,DOM ELISEU PA,Dom Eliseu,PA,59719,81.0
197,ELDORADO DO CARAJAS PA,Eldorado do Carajás,PA,33808,41.0
198,FARO PA,Faro,PA,7194,10.0
199,FLORESTA DO ARAGUAIA PA,Floresta do Araguaia,PA,20304,20.0
200,GARRAFAO DO NORTE PA,Garrafão do Norte,PA,26066,20.0
201,GOIANESIA DO PARA PA,Goianésia do Pará,PA,40475,24.0
202,GURUPA PA,Gurupá,PA,33376,23.0
203,IGARAPE-ACU PA,Igarapé-Açu,PA,38807,45.0
204,IGARAPE-MIRI PA,Igarapé-Miri,PA,62698,133.0
205,INHANGAPI PA,Inhangapi,PA,11711,19.0
206,IPIXUNA DO PARA PA,Ipixuna do Pará,PA,64053,76.0
207,IRITUIA PA,Irituia,PA,32550,30.0
208,ITAITUBA PA,Itaituba,PA,101247,413.0
209,ITUPIRANGA PA,Itupiranga,PA,53269,53.0
210,JACAREACANGA PA,Jacareacanga,PA,8239,24.0
211,JACUNDA PA,Jacundá,PA,59155,165.0
212,JURUTI PA,Juruti,PA,57943,57.0
213,LIMOEIRO DO AJURU PA,Limoeiro do Ajuru,PA,28935,20.0
214,MAE DO RIO PA,Mãe do Rio,PA,30077,52.0
215,MAGALHAES BARATA PA,Magalhães Barata,PA,8548,0.0
216,MARABA PA,Marabá,PA,279349,312.0
217,MARACANA PA,Maracanã,PA,29473,27.0
218,MARAPANIM PA,Marapanim,PA,28336,18.0
219,MARITUBA PA,Marituba,PA,131521,164.0
220,MEDICILANDIA PA,Medicilândia,PA,31597,41.0
221,MELGACO PA,Melgaço,PA,27654,15.0
222,MOCAJUBA PA,Mocajuba,PA,31136,27.0
223,MOJU PA,Moju,PA,82094,50.0
224,MOJUI DOS CAMPOS PA,Mojuí dos Campos,PA,16084,0.0
225,MONTE ALEGRE PA,Monte Alegre,PA,58032,85.0
226,MUANA PA,Muaná,PA,40349,26.0
227,NOVA ESPERANCA DO PIRIA PA,Nova Esperança do Piriá,PA,21368,32.0
228,NOVA IPIXUNA PA,Nova Ipixuna,PA,16678,13.0
229,NOVA TIMBOTEUA PA,Nova Timboteua,PA,15363,0.0
230,NOVO PROGRESSO PA,Novo Progresso,PA,25762,42.0
231,NOVO REPARTIMENTO PA,Novo Repartimento,PA,75919,54.0
232,OBIDOS PA,Óbidos,PA,52137,65.0
233,OEIRAS DO PARA PA,Oeiras do Pará,PA,32512,15.0
234,ORIXIMINA PA,Oriximiná,PA,73096,89.0
235,OUREM PA,Ourém,PA,17842,24.0
236,OURILANDIA DO NORTE PA,Ourilândia do Norte,PA,32832,67.0
237,PACAJA PA,Pacajá,PA,47706,37.0
238,PALESTINA DO PARA PA,Palestina do Pará,PA,7589,20.0
239,PARAGOMINAS PA,Paragominas,PA,113145,176.0
240,PARAUAPEBAS PA,Parauapebas,PA,208273,305.0
241,PAU DARCO PA,Pau DArco,PA,5483,22.0
242,PEIXE-BOI PA,Peixe-Boi,PA,8077,0.0
243,PICARRA PA,Piçarra,PA,12981,20.0
244,PLACAS PA,Placas,PA,30982,29.0
245,PONTA DE PEDRAS PA,Ponta de Pedras,PA,31082,20.0
246,PORTEL PA,Portel,PA,62043,29.0
247,PORTO DE MOZ PA,Porto de Moz,PA,41135,49.0
248,PRAINHA PA,Prainha,PA,29866,20.0
249,PRIMAVERA PA,Primavera,PA,10825,0.0
250,QUATIPURU PA,Quatipuru,PA,13608,0.0
251,REDENCAO PA,Redenção,PA,84787,278.0
252,RIO MARIA PA,Rio Maria,PA,18193,54.0
253,RONDON DO PARA PA,Rondon do Pará,PA,52357,101.0
254,RUROPOLIS PA,Rurópolis,PA,50510,27.0
255,SALINOPOLIS PA,Salinópolis,PA,40675,47.0
256,SALVATERRA PA,Salvaterra,PA,23752,19.0
257,SANTA BARBARA DO PARA PA,Santa Bárbara do Pará,PA,21079,0.0
258,SANTA CRUZ DO ARARI PA,Santa Cruz do Arari,PA,10128,15.0
259,SANTA IZABEL DO PARA PA,Santa Izabel do Pará,PA,70801,60.0
260,SANTA LUZIA DO PARA PA,Santa Luzia do Pará,PA,19848,16.0
261,SANTA MARIA DAS BARREIRAS PA,Santa Maria das Barreiras,PA,21449,23.0
262,SANTA MARIA DO PARA PA,Santa Maria do Pará,PA,24861,37.0
263,SANTANA DO ARAGUAIA PA,Santana do Araguaia,PA,72817,63.0
264,SANTAREM PA,Santarém,PA,304589,471.0
265,SANTAREM NOVO PA,Santarém Novo,PA,6709,0.0
266,SANTO ANTONIO DO TAUA PA,Santo Antônio do Tauá,PA,31482,76.0
267,SAO CAETANO DE ODIVELAS PA,São Caetano de Odivelas,PA,18050,20.0
268,SAO DOMINGOS DO ARAGUAIA PA,São Domingos do Araguaia,PA,25557,21.0
269,SAO DOMINGOS DO CAPIM PA,São Domingos do Capim,PA,31989,31.0
270,SAO FELIX DO XINGU PA,São Félix do Xingu,PA,128481,145.0
271,SAO FRANCISCO DO PARA PA,São Francisco do Pará,PA,15882,0.0
272,SAO GERALDO DO ARAGUAIA PA,São Geraldo do Araguaia,PA,24847,41.0
273,SAO JOAO DA PONTA PA,São João da Ponta,PA,6139,0.0
274,SAO JOAO DE PIRABAS PA,São João de Pirabas,PA,23045,24.0
275,SAO JOAO DO ARAGUAIA PA,São João do Araguaia,PA,13996,19.0
276,SAO MIGUEL DO GUAMA PA,São Miguel do Guamá,PA,58986,54.0
277,SAO SEBASTIAO DA BOA VISTA PA,São Sebastião da Boa Vista,PA,26640,32.0
278,SAPUCAIA PA,Sapucaia,PA,5930,11.0
279,SENADOR JOSE PORFIRIO PA,Senador José Porfírio,PA,11658,15.0
280,SOURE PA,Soure,PA,25374,48.0
281,TAILANDIA PA,Tailândia,PA,106339,40.0
282,TERRA ALTA PA,Terra Alta,PA,11720,0.0
283,TERRA SANTA PA,Terra Santa,PA,18769,21.0
284,TOME-ACU PA,Tomé-Açu,PA,63447,171.0
285,TRACUATEUA PA,Tracuateua,PA,30959,15.0
286,TRAIRAO PA,Trairão,PA,18989,21.0
287,TUCUMA PA,Tucumã,PA,39602,99.0
288,TUCURUI PA,Tucuruí,PA,113659,286.0
289,ULIANOPOLIS PA,Ulianópolis,PA,59210,89.0
290,URUARA PA,Uruará,PA,45476,61.0
291,VIGIA PA,Vigia,PA,53686,35.0
292,VISEU PA,Viseu,PA,61403,65.0
293,VITORIA DO XINGU PA,Vitória do Xingu,PA,15134,31.0
294,XINGUARA PA,Xinguara,PA,44751,133.0
295,SERRA DO NAVIO AP,Serra do Navio,AP,5397,30.0
296,AMAPA AP,Amapá,AP,9109,37.0
297,PEDRA BRANCA DO AMAPARI AP,Pedra Branca do Amapari,AP,16502,15.0
298,CALCOENE AP,Calçoene,AP,11117,20.0
299,CUTIAS AP,Cutias,AP,5983,0.0
300,FERREIRA GOMES AP,Ferreira Gomes,AP,7780,12.0
301,ITAUBAL AP,Itaubal,AP,5503,0.0
302,LARANJAL DO JARI AP,Laranjal do Jari,AP,50410,58.0
303,MACAPA AP,Macapá,AP,503327,716.0
304,MAZAGAO AP,Mazagão,AP,21632,14.0
305,OIAPOQUE AP,Oiapoque,AP,27270,41.0
306,PORTO GRANDE AP,Porto Grande,AP,21971,34.0
307,PRACUUBA AP,Pracuúba,AP,5120,0.0
308,SANTANA AP,Santana,AP,121364,95.0
309,TARTARUGALZINHO AP,Tartarugalzinho,AP,17315,18.0
310,VITORIA DO JARI AP,Vitória do Jari,AP,15931,8.0
311,ABREULANDIA TO,Abreulândia,TO,2579,0.0
312,AGUIARNOPOLIS TO,Aguiarnópolis,TO,6733,0.0
313,ALIANCA DO TOCANTINS TO,Aliança do Tocantins,TO,5390,0.0
314,ALMAS TO,Almas,TO,7055,0.0
315,ALVORADA TO,Alvorada,TO,8412,23.0
316,ANANAS TO,Ananás,TO,9549,14.0
317,ANGICO TO,Angico,TO,3433,0.0
318,APARECIDA DO RIO NEGRO TO,Aparecida do Rio Negro,TO,4795,0.0
319,ARAGOMINAS TO,Aragominas,TO,5758,0.0
320,ARAGUACEMA TO,Araguacema,TO,7086,17.0
321,ARAGUACU TO,Araguaçu,TO,8517,27.0
322,ARAGUAINA TO,Araguaína,TO,180470,589.0
323,ARAGUANA TO,Araguanã,TO,5729,0.0
324,ARAGUATINS TO,Araguatins,TO,35761,25.0
325,ARAPOEMA TO,Arapoema,TO,6643,28.0
326,ARRAIAS TO,Arraias,TO,10567,33.0
327,AUGUSTINOPOLIS TO,Augustinópolis,TO,18412,93.0
328,AURORA DO TOCANTINS TO,Aurora do Tocantins,TO,3757,0.0
329,AXIXA DO TOCANTINS TO,Axixá do Tocantins,TO,9756,0.0
330,BABACULANDIA TO,Babaçulândia,TO,10664,0.0
331,BANDEIRANTES DO TOCANTINS TO,Bandeirantes do Tocantins,TO,3553,0.0
332,BARRA DO OURO TO,Barra do Ouro,TO,4591,0.0
333,BARROLANDIA TO,Barrolândia,TO,5632,0.0
334,BERNARDO SAYAO TO,Bernardo Sayão,TO,4459,0.0
335,BOM JESUS DO TOCANTINS TO,Bom Jesus do Tocantins,TO,4894,0.0
336,BRASILANDIA DO TOCANTINS TO,Brasilândia do Tocantins,TO,2201,0.0
337,BREJINHO DE NAZARE TO,Brejinho de Nazaré,TO,5497,5.0
338,BURITI DO TOCANTINS TO,Buriti do Tocantins,TO,11348,0.0
339,CACHOEIRINHA TO,Cachoeirinha,TO,2275,0.0
340,CAMPOS LINDOS TO,Campos Lindos,TO,10116,0.0
341,CARIRI DO TOCANTINS TO,Cariri do Tocantins,TO,4382,0.0
342,CARMOLANDIA TO,Carmolândia,TO,2580,0.0
343,CARRASCO BONITO TO,Carrasco Bonito,TO,4095,0.0
344,CASEARA TO,Caseara,TO,5369,0.0
345,CENTENARIO TO,Centenário,TO,2905,0.0
346,CHAPADA DE AREIA TO,Chapada de Areia,TO,1406,0.0
347,CHAPADA DA NATIVIDADE TO,Chapada da Natividade,TO,3333,0.0
348,COLINAS DO TOCANTINS TO,Colinas do Tocantins,TO,35424,69.0
349,COMBINADO TO,Combinado,TO,4852,0.0
350,CONCEICAO DO TOCANTINS TO,Conceição do Tocantins,TO,4105,0.0
351,COUTO MAGALHAES TO,Couto Magalhães,TO,5588,0.0
352,CRISTALANDIA TO,Cristalândia,TO,7289,7.0
353,CRIXAS DO TOCANTINS TO,Crixás do Tocantins,TO,1722,0.0
354,DARCINOPOLIS TO,Darcinópolis,TO,6097,0.0
355,DIANOPOLIS TO,Dianópolis,TO,22139,39.0
356,DIVINOPOLIS DO TOCANTINS TO,Divinópolis do Tocantins,TO,6900,15.0
357,DOIS IRMAOS DO TOCANTINS TO,Dois Irmãos do Tocantins,TO,7198,9.0
358,DUERE TO,Dueré,TO,4686,12.0
359,ESPERANTINA TO,Esperantina,TO,10996,0.0
360,FATIMA TO,Fátima,TO,3835,0.0
361,FIGUEIROPOLIS TO,Figueirópolis,TO,5263,5.0
362,FILADELFIA TO,Filadélfia,TO,8856,0.0
363,FORMOSO DO ARAGUAIA TO,Formoso do Araguaia,TO,18440,40.0
364,FORTALEZA DO TABOCAO TO,Fortaleza do Tabocão,TO,2589,0.0
365,GOIANORTE TO,Goianorte,TO,5123,0.0
366,GOIATINS TO,Goiatins,TO,13019,10.0
367,GUARAI TO,Guaraí,TO,25923,57.0
368,GURUPI TO,Gurupi,TO,86647,237.0
369,IPUEIRAS TO,Ipueiras,TO,2015,0.0
370,ITACAJA TO,Itacajá,TO,7433,27.0
371,ITAGUATINS TO,Itaguatins,TO,5864,0.0
372,ITAPIRATINS TO,Itapiratins,TO,3777,0.0
373,ITAPORA DO TOCANTINS TO,Itaporã do Tocantins,TO,2427,0.0
374,JAU DO TOCANTINS TO,Jaú do Tocantins,TO,3849,0.0
375,JUARINA TO,Juarina,TO,2193,0.0
376,LAGOA DA CONFUSAO TO,Lagoa da Confusão,TO,13357,30.0
377,LAGOA DO TOCANTINS TO,Lagoa do Tocantins,TO,4316,0.0
378,LAJEADO TO,Lajeado,TO,3134,0.0
379,LAVANDEIRA TO,Lavandeira,TO,1923,0.0
380,LIZARDA TO,Lizarda,TO,3740,0.0
381,LUZINOPOLIS TO,Luzinópolis,TO,3108,0.0
382,MARIANOPOLIS DO TOCANTINS TO,Marianópolis do Tocantins,TO,5175,0.0
383,MATEIROS TO,Mateiros,TO,2684,0.0
384,MAURILANDIA DO TOCANTINS TO,Maurilândia do Tocantins,TO,3426,0.0
385,MIRACEMA DO TOCANTINS TO,Miracema do Tocantins,TO,18248,69.0
386,MIRANORTE TO,Miranorte,TO,13434,20.0
387,MONTE DO CARMO TO,Monte do Carmo,TO,7947,5.0
388,MONTE SANTO DO TOCANTINS TO,Monte Santo do Tocantins,TO,2279,0.0
389,PALMEIRAS DO TOCANTINS TO,Palmeiras do Tocantins,TO,6658,0.0
390,MURICILANDIA TO,Muricilândia,TO,3551,0.0
391,NATIVIDADE TO,Natividade,TO,9244,9.0
392,NAZARE TO,Nazaré,TO,3898,0.0
393,NOVA OLINDA TO,Nova Olinda,TO,11819,0.0
394,NOVA ROSALANDIA TO,Nova Rosalândia,TO,4260,0.0
395,NOVO ACORDO TO,Novo Acordo,TO,4342,0.0
396,NOVO ALEGRE TO,Novo Alegre,TO,2332,0.0
397,NOVO JARDIM TO,Novo Jardim,TO,2722,0.0
398,OLIVEIRA DE FATIMA TO,Oliveira de Fátima,TO,1112,0.0
399,PALMEIRANTE TO,Palmeirante,TO,6026,0.0
400,PALMEIROPOLIS TO,Palmeirópolis,TO,7659,24.0
401,PARAISO DO TOCANTINS TO,Paraíso do Tocantins,TO,51252,131.0
402,PARANA TO,Paranã,TO,10449,24.0
403,PAU DARCO TO,Pau DArco,TO,4849,0.0
404,PEDRO AFONSO TO,Pedro Afonso,TO,13578,31.0
405,PEIXE TO,Peixe,TO,11749,46.0
406,PEQUIZEIRO TO,Pequizeiro,TO,5477,0.0
407,COLMEIA TO,Colméia,TO,8205,21.0
408,PINDORAMA DO TOCANTINS TO,Pindorama do Tocantins,TO,4447,6.0
409,PIRAQUE TO,Piraquê,TO,3028,0.0
410,PIUM TO,Pium,TO,7654,5.0
411,PONTE ALTA DO BOM JESUS TO,Ponte Alta do Bom Jesus,TO,4596,0.0
412,PONTE ALTA DO TOCANTINS TO,Ponte Alta do Tocantins,TO,8039,7.0
413,PORTO ALEGRE DO TOCANTINS TO,Porto Alegre do Tocantins,TO,3139,0.0
414,PORTO NACIONAL TO,Porto Nacional,TO,53010,173.0
