,region_id,municipio,uf,populacao,quantidade_leitos
2948,SANTO ANTONIO DO RIO ABAIXO MG,Santo Antônio do Rio Abaixo,MG,1765,0.0
2949,SANTO HIPOLITO MG,Santo Hipólito,MG,3087,0.0
2950,SANTOS DUMONT MG,Santos Dumont,MG,46487,75.0
2951,SAO BENTO ABADE MG,São Bento Abade,MG,5286,0.0
2952,SAO BRAS DO SUACUI MG,São Brás do Suaçuí,MG,3738,0.0
2953,SAO DOMINGOS DAS DORES MG,São Domingos das Dores,MG,5644,0.0
2954,SAO DOMINGOS DO PRATA MG,São Domingos do Prata,MG,17359,40.0
2955,SAO FELIX DE MINAS MG,São Félix de Minas,MG,3369,0.0
2956,SAO FRANCISCO MG,São Francisco,MG,56323,59.0
2957,SAO FRANCISCO DE PAULA MG,São Francisco de Paula,MG,6527,0.0
2958,SAO FRANCISCO DE SALES MG,São Francisco de Sales,MG,6238,0.0
2959,SAO FRANCISCO DO GLORIA MG,São Francisco do Glória,MG,4844,0.0
2960,SAO GERALDO MG,São Geraldo,MG,12366,0.0
2961,SAO GERALDO DA PIEDADE MG,São Geraldo da Piedade,MG,3962,0.0
2962,SAO GERALDO DO BAIXIO MG,São Geraldo do Baixio,MG,4012,0.0
2963,SAO GONCALO DO ABAETE MG,São Gonçalo do Abaeté,MG,8389,0.0
2964,SAO GONCALO DO PARA MG,São Gonçalo do Pará,MG,12411,0.0
2965,SAO GONCALO DO RIO ABAIXO MG,São Gonçalo do Rio Abaixo,MG,10920,0.0
2966,SAO GONCALO DO SAPUCAI MG,São Gonçalo do Sapucaí,MG,25449,47.0
2967,SAO GOTARDO MG,São Gotardo,MG,35469,44.0
2968,SAO JOAO BATISTA DO GLORIA MG,São João Batista do Glória,MG,7453,23.0
2969,SAO JOAO DA LAGOA MG,São João da Lagoa,MG,4915,0.0
2970,SAO JOAO DA MATA MG,São João da Mata,MG,2749,0.0
2971,SAO JOAO DA PONTE MG,São João da Ponte,MG,25165,37.0
2972,SAO JOAO DAS MISSOES MG,São João das Missões,MG,13014,0.0
2973,SAO JOAO DEL REI MG,São João del Rei,MG,90082,219.0
2974,SAO JOAO DO MANHUACU MG,São João do Manhuaçu,MG,11559,0.0
2975,SAO JOAO DO MANTENINHA MG,São João do Manteninha,MG,5859,0.0
2976,SAO JOAO DO ORIENTE MG,São João do Oriente,MG,7498,0.0
2977,SAO JOAO DO PACUI MG,São João do Pacuí,MG,4419,0.0
2978,SAO JOAO DO PARAISO MG,São João do Paraíso,MG,23618,50.0
2979,SAO JOAO EVANGELISTA MG,São João Evangelista,MG,15774,52.0
2980,SAO JOAO NEPOMUCENO MG,São João Nepomuceno,MG,26361,47.0
